name_model,code_model,docstring_model,nodoc_model,k,name_hits,code_hits,docstring_hits,nodoc_hits,total_methods
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,1,3,21,15,19,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,3,11,39,27,36,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,5,18,44,29,45,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,7,20,46,30,53,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,10,23,49,38,55,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,15,26,50,39,61,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,1,3,21,15,13,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,3,11,39,27,45,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,5,18,44,29,58,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,7,20,46,30,61,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,10,23,49,38,64,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,15,26,50,39,74,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,1,3,21,15,17,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,3,11,39,27,46,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,5,18,44,29,55,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,7,20,46,30,60,96
